#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 09:08:18
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 09:08:17 GET / - 42.236.54.2 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36;+360Spider http://kaiparatavern.co.nz/ 200 0 319
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 12:15:26
2018-07-30 12:17:25 POST /admin/images/Sql.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin/images/Sql.asp 404 1405 1118
2018-07-30 12:17:25 POST /images/css/Thumb.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/images/css/Thumb.asp 404 1405 1116
2018-07-30 12:17:26 POST /admin/sdfg.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/admin/sdfg.asp 404 1405 1104
2018-07-30 12:17:26 POST /Templates/test.asp - 122.114.151.124 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+9.0;+Windows+NT+6.1) http://kaiparatavern.co.nz/Templates/test.asp 404 1405 1116
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 16:06:35
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 16:06:35 GET /robots.txt - 66.249.79.11 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 233
2018-07-30 16:06:35 GET / - 66.249.79.11 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 296
2018-07-30 16:08:16 GET /robots.txt - 66.249.79.104 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 404 1405 237
2018-07-30 16:08:16 GET / - 66.249.79.108 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - 200 8209 300
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 22:23:46
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 22:23:45 HEAD /admin/adminmailto.asp - 110.87.187.30 HTTP/1.1 - - 404 160 91
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-07-30 23:00:20
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-07-30 23:00:20 GET /css/font-awesome.min.css - 210.55.232.13 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J500Y+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.109+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 8118 512
2018-07-30 23:00:20 GET /css/jQuery.lightninBox.css - 210.55.232.13 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J500Y+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.109+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1481 514
2018-07-30 23:00:22 GET /css/team.css - 210.55.232.13 HTTP/1.1 Mozilla/5.0+(Linux;+Android+5.1.1;+SM-J500Y+Build/LMY48B)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/65.0.3325.109+Mobile+Safari/537.36 http://www.kaiparatavern.co.nz/ 200 1027 500
