#Software: Microsoft Internet Information Services 7.5
2018-03-31 00:35:00 GET /js/modernizr.custom.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 4923 364
2018-03-31 00:35:00 GET /css/bootstrap.min.css - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 27990 378
2018-03-31 00:35:00 GET /js/jquery.min.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 43185 358
2018-03-31 00:35:00 GET /js/SmoothScroll.min.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 3749 364
2018-03-31 00:35:00 GET /js/bootstrap.min.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 13266 361
2018-03-31 00:35:00 GET /js/main.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 871 352
2018-03-31 00:35:00 GET /js/cbpFWTabs.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 1208 357
2018-03-31 00:35:00 GET /js/jQuery.lightninBox.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 3081 366
2018-03-31 00:35:00 GET /js/boot_slider.js - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 2045 359
2018-03-31 00:35:01 GET /fonts/fontawesome-webfont.woff2 - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 404 1405 381
2018-03-31 00:35:01 GET /images/logo.png - 122.60.159.19 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_2_6+like+Mac+OS+X)+AppleWebKit/604.5.6+(KHTML,+like+Gecko)+Version/11.0+Mobile/15D100+Safari/604.1 http://www.kaiparatavern.co.nz/ 200 9464 401
