#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 07:44:55
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 07:44:54 GET / - 112.5.243.150 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/67.0.3396.99+Safari/537.36 https://www.blog4u.top/how-to-generate-traffic-to-your-website-fast/68646325/ 200 13729 413
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-10-20 08:08:47
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-10-20 11:33:54 GET /images/logo-big.png - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16600 544
2018-10-20 11:33:54 GET /css/bootstrap/css/bootstrap.min.css - 66.249.93.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 97587 539
2018-10-20 11:33:54 GET /js/jquery.easing.min.js - 66.249.93.210 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 7308 512
2018-10-20 11:33:54 GET /js/contactform.js - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 4238 506
2018-10-20 11:33:54 GET /js/init.js - 66.249.93.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 3636 499
2018-10-20 11:33:54 GET /images/blog/blog-1.jpg - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14403 547
2018-10-20 11:33:54 GET /images/events/event-4.jpg - 66.249.93.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16101 550
2018-10-20 11:33:54 GET /images/gallery/gallery-1.jpg - 66.249.93.211 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16100 553
2018-10-20 11:33:54 GET /images/gallery/gallery-2.jpg - 66.249.93.212 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 16758 553
2018-10-20 11:33:54 GET /images/gallery/gallery-3.jpg - 66.249.93.210 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 14699 553
2018-10-20 11:33:54 GET /images/gallery/gallery-5.jpg - 66.249.93.210 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 18116 553
2018-10-20 11:33:54 GET /js/jquery.form.min.js - 66.249.93.210 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.0;+SM-G610F+Build/NRD90M)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/66.0.3359.126+Mobile+Safari/537.36 http://www.ngateahotel.co.nz/ 200 11390 510
