#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2018-08-04 08:04:45
#Fields: date time cs-method cs-uri-stem cs-username c-ip cs-version cs(User-Agent) cs(Referer) sc-status sc-bytes cs-bytes
2018-08-05 06:01:09 GET /css/bootstrap/css/bootstrap.min.css - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 22905 381
2018-08-05 06:01:09 GET /css/bootstrap/js/bootstrap.min.js - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 9762 364
2018-08-05 06:01:09 GET /js/jquery.isotope.min.js - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 6559 355
2018-08-05 06:01:09 GET /js/jquery.flexslider-min.js - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 8289 358
2018-08-05 06:01:09 GET /js/jquery.form.min.js - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 5510 352
2018-08-05 06:01:09 GET /js/contactform.js - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 1385 348
2018-08-05 06:01:09 GET /js/init.js - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 1800 341
2018-08-05 06:01:09 GET /css/bootstrap/fonts/glyphicons-halflings-regular.woff - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 404 1405 384
2018-08-05 06:01:09 GET /js/jquery.nicescroll.min.js - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 21445 358
2018-08-05 06:01:09 GET /images/logo-big.png - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 16600 394
2018-08-05 06:01:09 GET /images/blog/blog-1.jpg - 118.93.4.213 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+11_0_3+like+Mac+OS+X)+AppleWebKit/604.1.38+(KHTML,+like+Gecko)+Version/11.0+Mobile/15A432+Safari/604.1 http://www.ngateahotel.co.nz/ 200 14403 397
